ID,name,position,age,nationality,current_club,matches_played
f225,Valentín Barco,"DF,FW",20,ar ARG,Sevilla,7
f226,Valentín Barco,DF,20,ar ARG,Strasbourg,1
f227,Bradley Barcola,FW,22,fr FRA,Paris S-G,21
f228,Melvin Bard,"DF,MF",24,fr FRA,Nice,14
f229,Nicolò Barella,MF,28,it ITA,Inter,21
f230,Gabriel Bares,"MF,DF",24,ch SUI,Montpellier,6
f231,Borna Barišić,DF,32,hr CRO,Leganés,1
f232,Kike Barja,"FW,MF",27,es ESP,Osasuna,7
f233,Ross Barkley,MF,31,eng ENG,Aston Villa,16
f234,Aymen Barkok,MF,26,ma MAR,Mainz 05,4
f235,Harvey Barnes,FW,27,eng ENG,Newcastle Utd,20
f236,Enzo Barrenechea,MF,23,ar ARG,Valencia,17
f237,Ander Barrenetxea,"MF,FW",23,es ESP,Real Sociedad,19
f238,Pablo Barrios,MF,21,es ESP,Atlético Madrid,18
f239,Thierno Barry,FW,22,fr FRA,Villarreal,22
f240,Davide Bartesaghi,DF,19,it ITA,Milan,2
f241,Marc Bartra,DF,34,es ESP,Betis,12
f242,Federico Baschirotto,DF,28,it ITA,Lecce,24
f243,Daniele Baselli,MF,32,it ITA,Como,2
f244,Calvin Bassey,DF,25,ng NGA,Fulham,23
f245,Aboubacar Bassinga,MF,19,ci CIV,Las Palmas,1
f246,Alessandro Bastoni,DF,25,it ITA,Inter,23
f247,Augusto Batalla,GK,28,ar ARG,Rayo Vallecano,18
f248,Michy Batshuayi,FW,31,be BEL,Eint Frankfurt,1
f249,Dylan Batubinsika,DF,29,cd COD,Saint-Étienne,20
f250,Maximilian Bauer,DF,25,de GER,Augsburg,11
f251,Oliver Baumann,GK,34,de GER,Hoffenheim,18
f252,Christoph Baumgartner,MF,25,at AUT,RB Leipzig,22
f253,Rafael Bauza,MF,20,es ESP,Espanyol,5
f254,Adrian Beck,"MF,FW",27,de GER,Heidenheim,19
f255,Sheraldo Becker,"FW,MF",30,sr SUR,Real Sociedad,18
f256,Timo Becker,DF,27,de GER,Holstein Kiel,17
f257,Jan Bednarek,DF,28,pl POL,Southampton,20
f258,Donny van de Beek,MF,27,nl NED,Girona,19
f259,Hannes Behrens,DF,,de GER,Hoffenheim,1
f260,Kevin Behrens,FW,34,de GER,Wolfsburg,11
f261,Maximilian Beier,"FW,MF",22,de GER,Dortmund,20
f262,Ismael Bekhoucha,MF,20,ma MAR,Getafe,1
f263,Reda Belahyane,MF,20,ma MAR,Hellas Verona,22
f264,Haris Belkebla,MF,31,dz ALG,Angers,17
f265,Yassin Belkhdim,"MF,FW",23,fr FRA,Angers,18
f266,Stefan Bell,DF,33,de GER,Mainz 05,15
f267,Raoul Bellanova,DF,24,it ITA,Torino,1
f268,Raoul Bellanova,DF,24,it ITA,Atalanta,21
f269,Jean-Ricner Bellegarde,"MF,FW",26,fr FRA,Wolves,22
f270,Héctor Bellerín,DF,29,es ESP,Betis,7
f271,Jude Bellingham,MF,21,eng ENG,Real Madrid,19
f272,Jeanuël Belocian,"DF,MF",19,fr FRA,Leverkusen,5
f273,Andrea Belotti,FW,31,it ITA,Como,18
f274,Fran Beltrán,MF,26,es ESP,Celta Vigo,19
f275,Lucas Beltrán,"MF,FW",23,ar ARG,Fiorentina,20
f276,Eliesse Ben Seghir,"MF,FW",19,ma MAR,Monaco,21
f277,Carlos Benavídez,MF,26,uy URU,Alavés,9
f278,Adrian Benedyczak,"FW,MF",24,pl POL,Parma,8
f279,László Bénes,"MF,FW",27,sk SVK,Union Berlin,13
f280,Iker Benito,"FW,MF",22,es ESP,Osasuna,2
f281,Ismaël Bennacer,MF,27,dz ALG,Milan,6
f282,Ismaël Bennacer,MF,27,dz ALG,Marseille,1
f283,Saïd Benrahma,"FW,MF",29,dz ALG,Lyon,13
f284,Ramy Bensebaini,DF,29,dz ALG,Dortmund,19
f285,Rodrigo Bentancur,MF,27,uy URU,Tottenham,14
f286,Lucas Beraldo,DF,21,br BRA,Paris S-G,13
f287,Yuri Berchiche,DF,35,es ESP,Athletic Club,19
