ID,name,position,age,nationality,market_value
t256,Noussair Mazraoui,Right-Back,27,Morocco,€32.00m
t257,Takehiro Tomiyasu,Right-Back,26,Japan,€32.00m
t258,Lucas Hernández,Left-Back,29,France,€32.00m
t259,Joachim Andersen,Centre-Back,28,Denmark,€32.00m
t260,John Stones,Centre-Back,30,England,€32.00m
t261,Geovany Quenda,Right Winger,17,Portugal,€30.00m
t262,Jorrel Hato,Left-Back,18,Netherlands,€30.00m
t263,Ethan Nwaneri,Attacking Midfield,17,England,€30.00m
t264,Lucas Beraldo,Centre-Back,21,Brazil,€30.00m
t265,Eliesse Ben Seghir,Left Winger,20,Morocco,€30.00m
t266,Mathys Tel,Centre-Forward,19,France,€30.00m
t267,Simon Adingra,Left Winger,23,Cote d'Ivoire,€30.00m
t268,Bilal El Khannouss,Attacking Midfield,20,Morocco,€30.00m
t269,Cristhian Mosquera,Centre-Back,20,Spain,€30.00m
t270,Odilon Kossounou,Centre-Back,24,Cote d'Ivoire,€30.00m
t271,Marc Casadó,Defensive Midfield,21,Spain,€30.00m
t272,Rayan Cherki,Attacking Midfield,21,France,€30.00m
t273,Maximilian Beier,Centre-Forward,22,Germany,€30.00m
t274,Youssouf Fofana,Defensive Midfield,26,France,€30.00m
t275,Yéremy Pino,Right Winger,22,Spain,€30.00m
t276,Kang-in Lee,Right Winger,24,"Korea, South",€30.00m
t277,Mykhaylo Mudryk,Left Winger,24,Ukraine,€30.00m
t278,Isak Hien,Centre-Back,26,Sweden,€30.00m
t279,Randal Kolo Muani,Centre-Forward,26,France,€30.00m
t280,Wesley Fofana,Centre-Back,24,France,€30.00m
t281,Brian Brobbey,Centre-Forward,23,Netherlands,€30.00m
t282,Reece James,Right-Back,25,England,€30.00m
t283,Malik Tillman,Attacking Midfield,22,United States,€30.00m
t284,Lucas Chevalier,Goalkeeper,23,France,€30.00m
t285,João Félix,Second Striker,25,Portugal,€30.00m
t286,Yann Bisseck,Centre-Back,24,Germany,€30.00m
t287,Mats Wieffer,Defensive Midfield,25,Netherlands,€30.00m
t288,Edson Álvarez,Defensive Midfield,27,Mexico,€30.00m
t289,Jadon Sancho,Left Winger,24,England,€30.00m
t290,Axel Disasi,Centre-Back,26,France,€30.00m
t291,Richarlison,Centre-Forward,27,Brazil,€30.00m
t292,Ferdi Kadıoğlu,Left-Back,25,Türkiye,€30.00m
t293,Moise Kean,Centre-Forward,25,Italy,€30.00m
t294,Hiroki Ito,Centre-Back,25,Japan,€30.00m
t295,Pervis Estupiñán,Left-Back,27,Ecuador,€30.00m
t296,Artem Dovbyk,Centre-Forward,27,Ukraine,€30.00m
t297,Denis Zakaria,Defensive Midfield,28,Switzerland,€30.00m
t298,Gianluca Scamacca,Centre-Forward,26,Italy,€30.00m
t299,Marc Cucurella,Left-Back,26,Spain,€30.00m
t300,Aleksandr Golovin,Attacking Midfield,28,Russia,€30.00m
t301,Youri Tielemans,Central Midfield,27,Belgium,€30.00m
t302,Ederson,Goalkeeper,31,Brazil,€30.00m
t303,Oleksandr Zinchenko,Left-Back,28,Ukraine,€30.00m
t304,Jonathan Tah,Centre-Back,29,Germany,€30.00m
t305,Leandro Trossard,Left Winger,30,Belgium,€30.00m
t306,Yankuba Minteh,Right Winger,20,The Gambia,€28.00m
t307,Antonio Nusa,Left Winger,19,Norway,€28.00m
t308,Danilo,Defensive Midfield,23,Brazil,€28.00m
t309,Milos Kerkez,Left-Back,21,Hungary,€28.00m
t310,Mohamed Simakan,Centre-Back,24,France,€28.00m
t311,Mario Gila,Centre-Back,24,Spain,€28.00m
t312,Antoine Semenyo,Right Winger,25,Ghana,€28.00m
t313,Tomás Araújo,Centre-Back,22,Portugal,€28.00m
t314,Josip Stanisic,Right-Back,24,Croatia,€28.00m
t315,Kiernan Dewsbury-Hall,Central Midfield,26,England,€28.00m
t316,David Neres,Right Winger,28,Brazil,€28.00m
t317,Nathan Collins,Centre-Back,23,Ireland,€28.00m
t318,Samuele Ricci,Defensive Midfield,23,Italy,€28.00m
t319,Benoît Badiashile,Centre-Back,23,France,€28.00m
t320,Orkun Kökçü,Central Midfield,24,Türkiye,€28.00m
t321,Jakub Kiwior,Centre-Back,25,Poland,€28.00m
t322,Matty Cash,Right-Back,27,Poland,€28.00m
t323,Felix Nmecha,Central Midfield,24,Germany,€28.00m
t324,Vitaliy Mykolenko,Left-Back,25,Ukraine,€28.00m
